,0,1,sum
v524,0.0,2.0,2.0
v561,0.0,2.0,2.0
v557,0.0,2.0,2.0
v98,0.0,2.0,2.0
v408,0.0,2.0,2.0
v410,0.0,2.0,2.0
v387,0.0,2.0,2.0
v494,0.0,2.0,2.0
v426,0.0,2.0,2.0
v491,0.0,2.0,2.0
v519,0.0,2.0,2.0
v452,0.0,2.0,2.0
v569,0.0,2.0,2.0
v424,0.0,2.0,2.0
v540,0.0,2.0,2.0
v555,0.0,2.0,2.0
v496,0.0,2.0,2.0
v526,0.0,2.0,2.0
v470,0.0,2.0,2.0
v459,0.0,2.0,2.0
v585,0.0,2.0,2.0
v417,0.0,2.0,2.0
v525,0.0,2.0,2.0
v454,0.0,2.0,2.0
v446,0.0,2.0,2.0
v409,0.0,2.0,2.0
v457,0.0,2.0,2.0
v490,0.0,2.0,2.0
v455,0.0,2.0,2.0
v448,0.0,2.0,2.0
v440,0.0,2.0,2.0
v523,0.0,2.0,2.0
v415,0.0,2.0,2.0
v411,0.0,2.0,2.0
v456,0.0,2.0,2.0
v70,0.0,2.0,2.0
v420,0.0,2.0,2.0
v522,0.0,2.0,2.0
v437,0.0,2.0,2.0
v442,0.0,2.0,2.0
v493,0.0,2.0,2.0
v467,0.0,2.0,2.0
v444,0.0,2.0,2.0
v441,0.0,2.0,2.0
v556,0.0,2.0,2.0
v568,0.0,2.0,2.0
v428,0.0,2.0,2.0
v416,0.0,2.0,2.0
v429,0.0,2.0,2.0
v376,0.0,1.0,1.0
v348,0.0,1.0,1.0
v50,0.0,1.0,1.0
v85,0.0,1.0,1.0
v280,0.0,1.0,1.0
v54,0.0,1.0,1.0
v303,0.0,1.0,1.0
v30,0.0,1.0,1.0
v588,0.0,1.0,1.0
v18,0.0,1.0,1.0
v349,0.0,1.0,1.0
v26,0.0,1.0,1.0
v355,0.0,1.0,1.0
v297,0.0,1.0,1.0
v365,0.0,1.0,1.0
v324,0.0,1.0,1.0
v354,0.0,1.0,1.0
v495,0.0,1.0,1.0
v296,0.0,1.0,1.0
v281,0.0,1.0,1.0
v377,0.0,1.0,1.0
v480,0.0,1.0,1.0
v351,0.0,1.0,1.0
v302,0.0,1.0,1.0
v353,0.0,1.0,1.0
v127,0.0,1.0,1.0
v60,0.0,1.0,1.0
v27,0.0,1.0,1.0
v366,0.0,1.0,1.0
v545,0.0,1.0,1.0
v473,0.0,1.0,1.0
v352,0.0,1.0,1.0
v350,0.0,1.0,1.0
v65,0.0,1.0,1.0
v285,0.0,1.0,1.0
v344,0.0,1.0,1.0
